Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,CovidCasesConfirmed,HospitalisedCovidCases,DailyHosp,RequiringICUCovidCases,DailyICU,HealthcareWorkersCovidCases,DailyHealth,0-5Hosp,D0-5H,5-14Hosp,D5-14H,15-24Hosp,D15-24H,25-34Hosp,D25-34H,35-44Hosp,D35-44H,45-54Hosp,D45-54H,55-64Hosp,D55-64H,65-74Hosp,D65-74H,75-84Hosp,D75-84H,85upHosp,D85upH,DailyH,Male,Dmale,Female,Dfemale
23/08/2021,1592,338707,,5074,335195,16096,21,1739,2,31336,55,263,2,183,0,772,4,1209,3,1393,2,1874,2,2192,3,2734,2,3327,1,2143,2,21,163121,580,172025,626
24/08/2021,1571,340278,,5074,336401,16117,48,1741,4,31391,65,265,2,183,2,776,2,1212,2,1395,7,1876,5,2195,3,2736,7,3328,11,2145,7,48,163701,735,172651,721
25/08/2021,2051,342329,18,5092,337857,16165,60,1745,6,31456,72,267,2,185,1,778,6,1214,6,1402,4,1881,4,2198,10,2743,11,3339,9,2152,7,60,164436,595,173372,624
26/08/2021,1866,344195,,5092,339076,16225,50,1751,7,31528,95,269,1,186,3,784,2,1220,5,1406,6,1885,6,2208,3,2754,6,3348,7,2159,11,50,165031,1004,173996,1036
27/08/2021,1875,346070,,5092,341116,16275,43,1758,3,31623,80,270,3,189,1,786,5,1225,3,1412,6,1891,4,2211,4,2760,5,3355,3,2170,9,43,166035,876,175032,915
28/08/2021,1997,348067,,5092,342907,16318,49,1761,4,31703,82,273,1,190,3,791,5,1228,8,1418,6,1895,4,2215,4,2765,7,3358,8,2179,3,49,166911,1003,175947,1057
29/08/2021,1706,349773,,5092,344967,16367,28,1765,1,31785,51,274,2,193,0,796,3,1236,4,1424,1,1899,4,2219,3,2772,2,3366,8,2182,1,28,167914,756,177004,710
30/08/2021,1293,351065,,5092,346433,16395,13,1766,1,31836,35,276,1,193,0,799,0,1240,0,1425,0,1903,3,2222,3,2774,3,3374,2,2183,1,13,168670,502,177714,504
31/08/2021,1382,352447,,5092,347439,16408,51,1767,6,31871,66,277,3,193,0,799,11,1240,5,1425,1,1906,7,2225,9,2777,5,3376,5,2184,5,51,169172,754,178218,777
01/09/2021,1789,354236,20,5112,348971,16459,20,1773,4,31937,77,280,0,193,1,810,1,1245,3,1426,2,1913,3,2234,3,2782,2,3381,4,2189,1,20,169926,831,178995,871
02/09/2021,1751,352529,,5112,350673,16479,52,1777,5,32014,84,280,2,194,0,811,2,1248,5,1428,6,1916,7,2237,4,2784,9,3385,11,2190,6,52,170757,837,179866,908
03/09/2021,1414,353936,,5112,352419,16531,37,1782,4,32098,53,282,2,194,2,813,3,1253,1,1434,1,1923,3,2241,3,2793,9,3396,5,2196,8,37,171594,729,180774,680
04/09/2021,1703,355639,,5112,353828,16568,55,1786,5,32151,70,284,1,196,3,816,1,1254,7,1435,5,1926,8,2244,7,2802,8,3401,7,2204,8,55,172323,863,181454,838
05/09/2021,1180,356819,,5112,355529,16623,25,1791,1,32221,61,285,3,199,3,817,0,1261,5,1440,3,1934,4,2251,2,2810,3,3408,2,2212,0,25,173186,599,182292,578
06/09/2021,1144,357955,,5112,356706,16648,16,1792,3,32282,54,288,1,202,0,817,0,1266,3,1443,3,1938,3,2253,4,2813,2,3410,0,2212,0,16,173785,550,182870,592
07/09/2021,1470,359420,,5112,357848,16664,57,1795,10,32336,55,289,3,202,2,817,2,1269,2,1446,7,1941,11,2257,9,2815,9,3410,10,2212,2,57,174335,733,183462,732
08/09/2021,1545,360957,43,5155,359314,16721,42,1805,4,32391,71,292,0,204,1,819,4,1271,4,1453,6,1952,7,2266,6,2824,7,3420,4,2214,3,42,175068,744,184194,799
09/09/2021,1292,362228,,5155,360857,16763,41,1809,4,32462,54,292,3,205,2,823,1,1275,5,1459,7,1959,4,2272,4,2831,7,3424,4,2217,4,41,175812,649,184993,642
10/09/2021,1620,363847,,5155,362148,16804,43,1813,5,32516,59,295,1,207,1,824,5,1280,9,1466,6,1963,1,2276,2,2838,5,3428,8,2221,5,43,176461,816,185635,800
11/09/2021,1466,365313,,5155,363764,16847,32,1818,4,32575,21,296,3,208,1,829,5,1289,2,1472,6,1964,4,2278,2,2843,5,3436,2,2226,2,32,177277,236,186435,258
12/09/2021,1346,366659,,5155,364258,16879,23,1822,1,32596,62,299,3,209,1,834,1,1291,0,1478,4,1968,4,2280,2,2848,5,3438,2,2228,1,23,177513,930,186693,873
13/09/2021,1394,367536,,5155,366061,16902,17,1823,2,32658,38,302,0,210,1,835,1,1291,4,1482,2,1972,2,2282,1,2853,4,3440,0,2229,2,17,178443,667,187566,716
14/09/2021,1181,368712,,5155,367444,16919,56,1825,9,32696,37,302,0,211,3,836,6,1295,2,1484,3,1974,7,2283,5,2857,9,3440,16,2231,5,56,179110,579,188282,596
15/09/2021,1185,369893,24,5179,368619,16975,37,1834,8,32733,42,302,1,214,0,842,0,1297,5,1487,3,1981,1,2288,9,2866,3,3456,8,2236,7,37,179689,570,188878,612
16/09/2021,1413,371301,,5179,369801,17012,37,1842,5,32775,36,303,1,214,2,842,2,1302,1,1490,5,1982,6,2297,3,2869,11,3464,4,2243,2,37,180259,710,189490,701
17/09/2021,1392,372687,,5179,371212,17049,38,1847,3,32811,40,304,2,216,3,844,4,1303,1,1495,3,1988,3,2300,4,2880,5,3468,7,2245,6,38,180969,685,190191,705
18/09/2021,1456,374143,,5179,372602,17087,43,1850,1,32851,40,306,0,219,2,848,7,1304,5,1498,3,1991,2,2304,7,2885,4,3475,8,2251,5,43,181654,699,190896,752
19/09/2021,1224,375367,,5179,374053,17130,23,1851,0,32891,27,306,0,221,1,855,1,1309,4,1501,5,1993,3,2311,0,2889,3,3483,2,2256,4,23,182353,604,191648,619
20/09/2021,1154,376517,,5179,375277,17153,16,1851,1,32918,41,306,1,222,1,856,0,1313,1,1506,2,1996,1,2311,2,2892,2,3485,4,2260,2,16,182957,585,192267,567
21/09/2021,1423,377937,,5179,376429,17169,62,1852,6,32959,54,307,3,223,0,856,1,1314,4,1508,6,1997,8,2313,8,2894,11,3489,16,2262,5,62,183542,710,192834,709
22/09/2021,1432,379366,30,5209,377849,17231,32,1858,3,33013,62,310,1,223,1,857,5,1318,4,1514,6,2005,2,2321,2,2905,3,3505,4,2267,4,32,184252,721,193543,712
23/09/2021,1355,380720,,5209,379282,17263,39,1861,3,33075,64,311,1,224,1,862,1,1322,3,1520,5,2007,4,2323,5,2908,12,3509,5,2271,2,39,184973,653,194255,700
24/09/2021,1163,381883,,5209,380635,17302,34,1864,3,33139,55,312,0,225,0,863,4,1325,3,1525,5,2011,5,2328,3,2920,7,3514,6,2273,1,34,185626,576,194955,586
