Daily Extract	nCovidConf	nDischCovidConf	nAdmitCovidConf	
8/23/2021	60	5	6
8/24/2021	55	9	5
8/25/2021	56	4	5
8/26/2021	61	3	8
8/27/2021	59	3	2
8/28/2021	61	2	6
8/29/2021	60	3	3
8/30/2021	61	1	2
8/31/2021	54	9	5
9/1/2021	6	4	7
9/2/2021	9	2	5
9/3/2021	5	6	3
9/4/2021	2	4	4
9/5/2021		0	7
9/6/2021	9	4	4
9/7/2021	9	4	6
9/8/2021	6	8	6
9/9/2021	4	4	2
9/10/2021	59	2	7
9/11/2021	58	4	3
9/12/2021	59	1	2
9/13/2021	58	0	1
9/14/2021	60	2	6
9/15/2021	5	3	8
9/16/2021	67	3	5
9/17/2021	73	2	9
9/18/2021	66	6	2
9/19/2021	63	2	1
9/20/2021	65	1	2
9/21/2021	3	4	4
9/22/2021	63	4	4
9/23/2021	9	5	5
9/24/2021	1	3	5
9/25/2021	65	1	6
9/26/2021	65	4	6
9/27/2021	66	2	4
9/28/2021	63	7	4
9/29/2021	60	4	4
9/30/2021	9	2	2
10/1/2021	9	4	7
10/2/2021	56	5	4
10/3/2021	60	0	5
10/4/2021	64	2	7
10/5/2021	65	2	4
10/6/2021	70	2	7
10/7/2021	9	5	4
10/8/2021	73	2	6
10/9/2021	74	4	4
10/10/202	74	4	5
10/11/202	75	4	6
10/12/202	73	4	5
10/13/202	69	4	2
10/14/202	70	7	7
10/15/202	73	2	5
10/16/202	71	4	4
10/17/202	74	2	7
10/18/202	73	2	5
10/19/202	74	4	7
10/20/202	86	0	14
10/21/202	88	0	2
10/22/202	90	4	7
10/23/202	93	2	7
10/24/202	97	1	5
10/25/202	99	5	7
10/26/202	97	3	2
10/27/202	101	3	9
10/28/202	99	9	11
10/29/202	97	6	5
10/30/202	92	8	4
10/31/202	93	5	8
11/1/2021	91	2	1
11/2/2021	90	2	6
11/3/2021	86	7	6
11/4/2021	90	3	8
11/5/2021	76	11	2
11/6/2021	74	8	9
11/7/2021	75	1	3
11/8/2021	78	3	7
11/9/2021	83	3	9
11/10/202	89	4	11
11/11/202	97	1	12
11/12/202	96	4	4
11/13/202	107	3	15
11/14/202	106	2	2
11/15/202	117	2	12
11/16/202	114	5	6
11/17/202	119	6	12
11/18/202	118	4	5
11/19/202	118	8	7
11/20/202	121	5	11
11/21/202	125	2	8
11/22/202	126	4	7
11/23/202	130	4	10
11/24/202	132	6	12
11/25/202	126	11	8
11/26/202	118	5	2
11/27/202	121	4	9
11/28/202	117	8	7
11/29/202	115	5	6
11/30/202	122	0	10
12/1/2021	117	7	6
12/2/2021	117	2	6
12/3/2021	110	10	6
12/4/2021	114	5	10
12/5/2021	110	4	1
12/6/2021	110	4	7
12/7/2021	117	3	14
12/8/2021	118	3	6
12/9/2021	115	10	7
12/10/2021	110	8	5
12/11/2021	111	3	6
12/12/2021	109	6	6
12/13/2021	108	3	4
12/14/2021	109	8	9
12/15/2021	105	10	12
12/16/2021	108	1	6
12/17/2021	105	3	6
12/18/2021	107	5	6
12/19/2021	107	4	6
12/20/2021	104	5	3
12/21/2021	102	4	5
12/22/2021	100	8	8
12/23/2021	98	5
